layer_idx,mean_norm,std_norm,k_value,sample_count,model
0,1.3600667044520378,0.12750590864237382,0.02125104225706309,80,llama-3.1-8b-instruct
1,15.006371080875397,5.213715493221547,0.23447454813867807,80,llama-3.1-8b-instruct
2,15.727254289388657,5.21543872323729,0.24573834827169777,80,llama-3.1-8b-instruct
3,16.517335224151612,5.207538269347029,0.25808336287736894,80,llama-3.1-8b-instruct
4,17.366228252649307,5.2129898822306915,0.2713473164476454,80,llama-3.1-8b-instruct
5,18.058862066268922,5.20268094137314,0.2821697197854519,80,llama-3.1-8b-instruct
6,18.684955859184264,5.204907789999577,0.2919524352997541,80,llama-3.1-8b-instruct
7,19.35450633764267,5.1990003399806906,0.3024141615256667,80,llama-3.1-8b-instruct
8,19.810876750946044,5.194162216375689,0.30954494923353193,80,llama-3.1-8b-instruct
9,20.271201610565186,5.126112452055378,0.316737525165081,80,llama-3.1-8b-instruct
10,20.63510080575943,5.128579228899697,0.32242345008999107,80,llama-3.1-8b-instruct
11,20.81652113199234,5.062743715784439,0.3252581426873803,80,llama-3.1-8b-instruct
12,21.541822600364686,4.998900654849759,0.3365909781306982,80,llama-3.1-8b-instruct
13,21.856768906116486,4.940387071659672,0.3415120141580701,80,llama-3.1-8b-instruct
14,22.236646819114686,4.924670923335252,0.34744760654866697,80,llama-3.1-8b-instruct
15,23.01309472322464,4.796146164734887,0.359579605050385,80,llama-3.1-8b-instruct
16,24.16836975812912,4.750668227256951,0.3776307774707675,80,llama-3.1-8b-instruct
17,25.24770107269287,4.654853480534238,0.3944953292608261,80,llama-3.1-8b-instruct
18,26.37691464424133,4.6289652667782475,0.4121392913162708,80,llama-3.1-8b-instruct
19,27.43060383796692,4.508492962242462,0.42860318496823313,80,llama-3.1-8b-instruct
20,28.454856705665588,4.49999678601911,0.4446071360260248,80,llama-3.1-8b-instruct
21,30.057709956169127,4.317643664129379,0.4696517180651426,80,llama-3.1-8b-instruct
22,31.504572343826293,4.150646035810539,0.49225894287228583,80,llama-3.1-8b-instruct
23,33.27898726463318,4.092269835181247,0.5199841760098934,80,llama-3.1-8b-instruct
24,34.88835575580597,3.978216772742034,0.5451305586844682,80,llama-3.1-8b-instruct
25,36.707494139671326,3.9371292336598542,0.5735545959323645,80,llama-3.1-8b-instruct
26,38.934183311462405,3.6863137377515525,0.6083466142416001,80,llama-3.1-8b-instruct
27,41.37583475112915,3.6018940383174174,0.6464974179863929,80,llama-3.1-8b-instruct
28,44.11222009658813,3.366930001359858,0.6892534390091896,80,llama-3.1-8b-instruct
29,47.416469144821164,3.30035601870417,0.7408823303878307,80,llama-3.1-8b-instruct
30,51.19834489822388,2.9971344094649197,0.7999741390347481,80,llama-3.1-8b-instruct
31,50.485093688964845,4.840918617416823,0.7888295888900757,80,llama-3.1-8b-instruct
